BCP47	SCRIPT 1	SCRIPT 2	SCRIPT 3
ace_Latn	Latn	Arab	--
ace_Arab	Arab	Latn	--
acm	Arab	--	--
acq	Arab	--	--
acw	Arab	--	--
aeb	Arab	Latn	--
afr	Latn	--	--
ajp	Arab	--	--
arz	Arab	--	--
ary	Arab	--	--
ars	Arab	--	--
apc	Arab	--	--
ara_Latn	Latn	--	--
aka	Latn	--	--
alt	Cyrl	Mong	--
awa	Deva	--	--
amh_Ethi	Ethi	Latn	--
ara	Arab	Latn	--
asm_Beng	Beng	Latn	--
ast	Latn	--	--
aym	Latn	--	--
azb	Arab	Latn	--
aze	Latn	Arab	--
azj	Latn	Arab	--
bak	Cyrl	--	--
ban_Latn	Latn	Bali	--
ban	Latn	Bali	--
bjn_Latn	Latn	Arab	--
bjn_Arab	Arab	Latn	--
bam	Latn	--	--
bem	Latn	--	--
bho	Deva	--	--
bjn_Arab	Arab	Latn	--
bjn_Latn	Latn	Arab	--
bel_Cyrl	Cyrl	Latn	--
ben_Beng	Beng	Latn	--
bod	Tibt	Marc	Phag
bos_Latn	Latn	Cyrl	--
bug_Latn	Latn	Bugi	--
bug	Latn	Bugi	--
bul_Cyrl	Cyrl	Latn	--
cat	Latn	--	--
ceb	Latn	--	--
ces	Latn	--	--
chv	Cyrl	--	--
ckb	Arab	Latn	--
cjs	Cyrl	--	--
cjk	Latn	--	--
cmn	Hant	Hans	--
crh_Latn	Latn	Cyrl	--
cym	Latn	--	--
dan	Latn	--	--
deu	Latn	--	--
dik	Latn	--	--
diq	Latn	--	--
#dyu	Arab	Latn	Nkoo
dyu	Latn	Arab	Nkoo
dzo	Tibt	--	--
ell_Grek	Grek	Latn	--
eng	Latn	--	--
epo	Latn	--	--
ewe	Latn	--	--
est	Latn	--	--
eus	Latn	--	--
fas	Arab	Latn	--
fao	Latn	--	--
fin	Latn	--	--
fij	Latn	--	--
fon	Latn	--	--
fra	Latn	--	--
ful	Latn	--	--
fur	Latn	--	--
fuv	Latn	--	--
gle	Latn	--	--
glg	Latn	--	--
gag	Latn	Cyrl	--
grn	Latn	--	--
gla	Latn	--	--
guj_Gujr	Gujr	Latn	--
hat	Latn	--	--
hau_Latn	Latn	Arab	--
heb	Hebr	--	--
hin_Deva	Deva	Latn	--
hrv_Latn	Latn	Cyrl	--
hun	Latn	--	--
hne	Deva	--	--
hne_Deva	Deva	--	--
hye	Armn	Latn	--
ibo	Latn	--	--
ilo	Latn	--	--
ind	Latn	Arab	--
isl	Latn	--	--
ita	Latn	--	--
jpn	Jpan	Latn	--
jav_Latn	Latn	Java	--
kaa	Cyrl	Latn	--
kab	Latn	Tfng	--
kab_Latn	Latn	Tfng	--
kab_Tfng	Tfng	Latn	--
kau_Latn	Latn	Arab	--
kau_Arab	Arab	Latn	--
kac	Latn	--	--
kam	Latn	--	--
kan_Knda	Knda	Latn	--
kbp	Latn	--	--
kas_Deva	Deva	Arab	--
kas_Arab	Arab	Deva	--
kat	Geor	--	--
kaz_Cyrl	Cyrl	Latn	--
kea	Latn	--	--
khm	Khmr	--	--
kin	Latn	--	--
kir_Cyrl	Cyrl	Latn	--
kik	Latn	--	--
kjh	Cyrl	--	--
kmr	Arab	Cyrl	Latn
kmb	Latn	--	--
kon	Latn	--	--
kor	Hang	Latn	--
krc	Cyrl	--	--
kum	Cyrl	Latn	--
#kur	Arab	Cyrl	Latn
kur	Latn	# Holger	--
lao_Laoo	Laoo	Latn	--
lav	Latn	--	--
lin	Latn	--	--
lij	Latn	--	--
lim	Latn	--	--
lit	Latn	--	--
lmo	Latn	--	--
ltz	Latn	--	--
ltg	Latn	--	--
lua	Latn	--	--
lug	Latn	--	--
lus	Latn	--	--
luo_Latn	Latn	--	--
mag	Deva	--	--
mai	Deva	--	--
mal_Mlym	Mlym	--	--
mar	Deva	Latn	--
mkd	Cyrl	Latn	--
mlg	Latn	--	--
mlt	Latn	Arab	--
mon_Cyrl	Cyrl	Mong	--
mos	Latn	--	--
mni_Mtei	Mtei	Beng	--
mni	Beng	Mtei	--
min_Latn	Latn	Arab	--
min_Arab	Arab	Latn	--
mri	Latn	--	--
msa	Latn	--	--
mya	Mymr	Latn	--
nde	Latn	--	--
nld	Latn	--	--
nob	Latn	--	--
nor	Latn	--	--
nno	Latn	--	--
npi	Deva	--	--
nso	Latn	--	--
nus	Latn	--	--
nya	Latn	--	--
oci	Latn	--	--
orm	Latn	--	--
ory	Orya	--	--
pan_Guru	Guru	Arab	--
pag	Latn	--	--
pap	Latn	--	--
pcm	Latn	--	--
pol	Latn	--	--
por	Latn	--	--
prs	Arab	--	--
pus	Arab	--	--
que	Latn	--	--
ron	Latn	--	--
run	Latn	--	--
rus	Cyrl	--	--
sin	Sinh	Latn	--
sag	Latn	--	--
san	Deva	--	--
sat	Olck	Latn	--
scn	Latn	--	--
shn	Mymr	--	--
slk	Latn	--	--
slv	Latn	--	--
sna	Latn	--	--
snd_Arab	Arab	Deva	--
srd	Latn	--	--
som	Latn	--	--
sot	Latn	--	--
smo	Latn	--	--
spa	Latn	--	--
sqi	Latn	Arab	--
srp	Cyrl	Latn	--
srp_Cyrl	Cyrl	Latn	--
srp_Latn	Latn	Cyrl	--
ssw	Latn	--	--
#sun	Arab	Latn	--
sun	Latn		--
swa	Latn	Arab	--
swe	Latn	--	--
swh_Latn	Latn	Arab	--
szl	Latn	--	--
#tam	Taml	Latn	--
tam_Taml	Taml	Latn	--
tat	Cyrl	# Holger	--
tat_Cyrl	Cyrl	Latn	--
#tel	Telu	Latn	--
tel_Telu	Telu	Latn	--
tgk	Cyrl	--	--
tgl	Latn	--	--
tha	Thai	--	--
tir	Ethi	Latn	--
tmh_Latn	Latn	Tfng	--
tmh_Tfng	Tfng	Latn	--
ton	Latn	--	--
tpi	Latn	--	--
tsn	Latn	--	--
tso	Latn	--	--
tuk	Arab	Cyrl	Latn
tur	Latn	--	--
tum	Latn	--	--
twi	Latn	--	--
tyv	Cyrl	--	--
tzm	Tfng	Latn	Arab
uig	Arab	Cyrl	Latn
ukr	Cyrl	Latn	--
umb	Latn	--	--
urd	Arab	Latn	--
uum	Cyrl	Grek	--
#uzb_Cyrl	Cyrl	Latn	--
uzb_Latn	Latn	Cyrl	--
ven	Latn	--	--
vec	Latn	--	--
vie	Latn	--	--
war	Latn	--	--
wol	Latn	Arab	--
wol_Latn	Latn	Arab	--
xho	Latn	--	--
yid	Hebr	--	--
yor_Latn	Latn	Arab	--
yue	Hant	--	--
zho_Hans	Hans	Hant	--
zho_Hant	Hant	Hans	--
zlm_Latn	Latn	Arab	--
zul	Latn	--	--
bbo	Latn	# Holger	--
oss	Cyrl	# Holger	--
zza	Latn	# Holger	--
bis	Latn	# Holger	--
tah	Latn	# Holger	--
